mode,n_tasks,rep,overlap,cross_dim,shared_count_all,shared_ratio_all
prefill-last,2,15,0.9347606897354126,164,136,0.8292682926829268
prefill-last,2,16,0.8702409863471985,159,126,0.7924528301886793
prefill-last,2,17,0.8652417659759521,161,129,0.8012422360248447
prefill-last,2,18,0.9347606897354126,164,136,0.8292682926829268
prefill-last,2,19,0.9086112976074219,160,122,0.7625
prefill-last,3,0,0.9181548953056335,219,129,0.589041095890411
prefill-last,3,1,0.9138145446777344,225,131,0.5822222222222222
prefill-last,3,2,0.9028031826019287,214,129,0.602803738317757
prefill-last,3,3,0.8829710483551025,228,133,0.5833333333333334
prefill-last,3,4,0.946834146976471,226,138,0.6106194690265486
prefill-last,3,5,0.9074248671531677,219,126,0.5753424657534246
prefill-last,3,6,0.9242438077926636,222,139,0.6261261261261262
prefill-last,3,7,0.920165479183197,227,136,0.5991189427312775
prefill-last,3,8,0.8414441347122192,224,131,0.5848214285714286
prefill-last,3,9,0.8758485317230225,234,134,0.5726495726495726
prefill-last,3,10,0.9167135953903198,224,140,0.625
prefill-last,3,11,0.949508547782898,224,141,0.6294642857142857
prefill-last,3,12,0.855693519115448,224,133,0.59375
prefill-last,3,13,0.9477046132087708,221,140,0.6334841628959276
prefill-last,3,14,0.8926867842674255,228,139,0.6096491228070176
prefill-last,3,15,0.9167135953903198,224,140,0.625
prefill-last,3,16,0.8900294303894043,214,126,0.5887850467289719
prefill-last,3,17,0.9311515688896179,223,136,0.6098654708520179
prefill-last,3,18,0.8714650869369507,225,132,0.5866666666666667
prefill-last,3,19,0.9271648526191711,225,142,0.6311111111111111
prefill-last,4,0,0.9025875926017761,273,129,0.4725274725274725
prefill-last,4,1,0.9070693254470825,278,135,0.4856115107913669
prefill-last,4,2,0.9496260285377502,281,140,0.498220640569395
prefill-last,4,3,0.9103940725326538,276,128,0.463768115942029
prefill-last,4,4,0.9406831860542297,283,137,0.4840989399293286
prefill-last,4,5,0.9440363645553589,278,135,0.4856115107913669
prefill-last,4,6,0.9202447533607483,281,143,0.5088967971530249
prefill-last,4,7,0.9351330995559692,279,136,0.4874551971326165
prefill-last,4,8,0.9189919233322144,281,138,0.49110320284697506
prefill-last,4,9,0.9406831860542297,283,137,0.4840989399293286
prefill-last,4,10,0.9495697617530823,285,137,0.4807017543859649
prefill-last,4,11,0.8605104088783264,278,141,0.5071942446043165
prefill-last,4,12,0.9145087599754333,281,133,0.47330960854092524
prefill-last,4,13,0.9112333059310913,277,127,0.4584837545126354
prefill-last,4,14,0.9489451050758362,278,138,0.49640287769784175
prefill-last,4,15,0.9495697617530823,285,137,0.4807017543859649
prefill-last,4,16,0.9452815651893616,284,135,0.4753521126760563
prefill-last,4,17,0.9406831860542297,283,137,0.4840989399293286
prefill-last,4,18,0.8655235767364502,275,132,0.48
prefill-last,4,19,0.9216011166572571,283,138,0.4876325088339223
prefill-last,5,0,0.9464344382286072,322,133,0.41304347826086957
prefill-last,5,1,0.9116194248199463,334,134,0.40119760479041916
prefill-last,5,2,0.9429107904434204,335,134,0.4
prefill-last,5,3,0.889377236366272,336,129,0.38392857142857145
prefill-last,5,4,0.9234400987625122,329,128,0.3890577507598784
prefill-last,5,5,0.9128515124320984,332,132,0.39759036144578314
prefill-last,5,6,0.9545416235923767,333,139,0.4174174174174174
prefill-last,5,7,0.9128515124320984,332,132,0.39759036144578314
prefill-last,5,8,0.9513775110244751,333,134,0.4024024024024024
prefill-last,5,9,0.9128620028495789,326,141,0.4325153374233129
prefill-last,5,10,0.9482455849647522,330,137,0.41515151515151516
prefill-last,5,11,0.9516080021858215,333,136,0.4084084084084084
prefill-last,5,12,0.9482455849647522,330,137,0.41515151515151516
prefill-last,5,13,0.9342537522315979,332,134,0.4036144578313253
prefill-last,5,14,0.9527072310447693,331,137,0.41389728096676737
prefill-last,5,15,0.9405137300491333,329,132,0.4012158054711246
prefill-last,5,16,0.915418803691864,325,134,0.4123076923076923
prefill-last,5,17,0.9023785591125488,312,132,0.4230769230769231
prefill-last,5,18,0.9545416235923767,333,139,0.4174174174174174
prefill-last,5,19,0.9429107904434204,335,134,0.4
prefill-last,6,0,0.9163494110107422,367,131,0.3569482288828338
prefill-last,6,1,0.9107609391212463,376,128,0.3404255319148936
prefill-last,6,2,0.8762434124946594,376,131,0.3484042553191489
prefill-last,6,3,0.9308776259422302,379,134,0.35356200527704484
prefill-last,6,4,0.9528110027313232,373,137,0.3672922252010724
prefill-last,6,5,0.9295306205749512,371,136,0.3665768194070081
prefill-last,6,6,0.9418518543243408,382,135,0.35340314136125656
prefill-last,6,7,0.9268293976783752,379,133,0.35092348284960423
prefill-last,6,8,0.9589726328849792,374,134,0.3582887700534759
prefill-last,6,9,0.9239338040351868,368,137,0.37228260869565216
prefill-last,6,10,0.9308776259422302,379,134,0.35356200527704484
prefill-last,6,11,0.9651162028312683,383,133,0.3472584856396867
prefill-last,6,12,0.9295306205749512,371,136,0.3665768194070081
prefill-last,6,13,0.9238749146461487,377,131,0.34748010610079577
